age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;salary-class
[41, 60];Non-Government;192963;*;13;Spouse present;Other;Husband;Asian-Pac-Islander;Male;0;2415;35;Asia;>50K
[41, 60];Non-Government;198759;*;15;Spouse present;Technical;Husband;White;Male;0;2415;80;North America;>50K
[21, 40];Non-Government;143123;*;11;Spouse present;Technical;Husband;White;Male;0;2415;40;North America;>50K
[21, 40];Non-Government;237713;*;15;Spouse present;Nontechnical;Husband;White;Male;0;2415;99;North America;>50K
[41, 60];Non-Government;81929;*;16;Spouse present;Technical;Husband;White;Male;0;2415;45;North America;>50K
[41, 60];Non-Government;167793;*;15;Spouse present;Technical;Husband;White;Male;0;2415;60;North America;>50K
[41, 60];Non-Government;456062;*;16;Spouse present;Technical;Husband;White;Male;0;2415;55;North America;>50K
[41, 60];Non-Government;105478;*;13;Spouse present;Nontechnical;Husband;White;Male;0;2415;40;North America;>50K
[41, 60];Non-Government;42402;*;15;Spouse present;Technical;Husband;White;Male;0;2415;30;North America;>50K
[41, 60];Non-Government;114580;*;15;Spouse present;Nontechnical;Wife;White;Female;0;2415;55;North America;>50K
[21, 40];Non-Government;346478;*;13;Spouse present;Nontechnical;Husband;White;Male;0;2415;45;North America;>50K
[21, 40];Non-Government;187870;*;15;Spouse present;Technical;Husband;White;Male;0;2415;90;North America;>50K
[41, 60];Non-Government;35576;*;10;Spouse present;Nontechnical;Husband;White;Male;0;2415;50;North America;>50K
[41, 60];Non-Government;102346;*;13;Spouse present;Nontechnical;Wife;White;Female;0;2415;20;North America;>50K
[41, 60];Non-Government;148995;*;13;Spouse present;Nontechnical;Husband;White;Male;0;2415;60;North America;>50K
[41, 60];Non-Government;102308;*;15;Spouse present;Technical;Husband;White;Male;0;2415;45;North America;>50K
[61, 80];Non-Government;105252;*;13;Spouse not present;Nontechnical;Not-in-family;White;Male;0;2392;40;North America;>50K
[61, 80];Non-Government;106175;*;13;Spouse present;Nontechnical;Husband;White;Male;0;2392;75;North America;>50K
[61, 80];Non-Government;52138;*;16;Spouse present;Technical;Husband;White;Male;0;2392;25;North America;>50K
[41, 60];Non-Government;191978;*;14;Spouse present;Nontechnical;Husband;White;Male;0;2392;50;North America;>50K
[61, 80];Non-Government;188044;*;13;Spouse present;Nontechnical;Husband;White;Male;0;2392;40;North America;>50K
[61, 80];Non-Government;66624;*;13;Spouse present;Nontechnical;Husband;White;Male;0;2392;60;North America;>50K
*;*;153183;*;13;*;*;Husband;*;*;0;2392;55;*;*
[61, 80];Non-Government;211287;*;14;Spouse present;Nontechnical;Husband;White;Male;0;2392;40;North America;>50K
[21, 40];Non-Government;181655;*;11;Spouse present;Other;Husband;White;Male;0;2377;45;North America;<=50K
[61, 80];Government;235882;*;16;Spouse present;Technical;Husband;White;Male;0;2377;60;North America;>50K
[41, 60];Non-Government;158685;*;9;Spouse present;Other;Wife;White;Female;0;2377;40;North America;>50K
[21, 40];Non-Government;370767;*;9;Spouse present;Technical;Husband;White;Male;0;2377;60;North America;<=50K
[61, 80];Non-Government;155141;*;13;Spouse present;Technical;Husband;White;Male;0;2377;12;North America;>50K
[21, 40];Non-Government;156516;*;10;Spouse present;Other;Wife;Black;Female;0;2377;20;North America;<=50K
[21, 40];Government;177305;*;10;Spouse present;Nontechnical;Husband;White;Male;0;2377;40;North America;<=50K
[21, 40];Non-Government;162945;*;9;Spouse present;Nontechnical;Husband;White;Male;0;2377;40;North America;<=50K
*;*;177408;*;9;*;*;Husband;*;*;0;2377;26;*;*
[61, 80];Non-Government;427422;*;16;Spouse present;Nontechnical;Husband;White;Male;0;2377;25;North America;>50K
[61, 80];Non-Government;152307;*;9;Spouse present;Nontechnical;Husband;White;Male;0;2377;45;North America;>50K
[61, 80];Non-Government;218637;*;10;Spouse present;Nontechnical;Husband;White;Male;0;2377;55;North America;>50K
[41, 60];Non-Government;222405;*;9;Spouse present;Nontechnical;Husband;Black;Male;0;2377;40;North America;<=50K
[21, 40];Non-Government;110862;*;12;Spouse present;Technical;Husband;White;Male;0;2377;50;North America;<=50K
[21, 40];Non-Government;377931;*;10;Spouse present;Nontechnical;Husband;White;Male;0;2377;48;North America;<=50K
[21, 40];Non-Government;192923;*;9;Spouse present;Technical;Husband;White;Male;0;2377;40;North America;<=50K
[61, 80];Non-Government;207938;*;13;Spouse present;Nontechnical;Husband;White;Male;0;2377;50;North America;>50K
[61, 80];Non-Government;36671;*;9;Spouse present;Other;Husband;White;Male;0;2352;50;North America;<=50K
[61, 80];Non-Government;81413;*;9;Spouse present;Other;Husband;White;Male;0;2352;65;North America;<=50K
[41, 60];Non-Government;214955;*;3;Spouse not present;Technical;Not-in-family;White;Female;0;2339;45;North America;<=50K
[21, 40];Government;166295;*;13;Spouse not present;Technical;Not-in-family;White;Male;0;2339;55;North America;<=50K
[41, 60];Government;147707;*;9;Spouse not present;Other;Unmarried;White;Male;0;2339;40;North America;<=50K
[61, 80];Non-Government;43554;*;3;Spouse not present;Nontechnical;Not-in-family;Black;Male;0;2339;40;North America;<=50K
[41, 60];Government;358893;*;13;Spouse not present;Technical;Not-in-family;White;Female;0;2339;40;North America;<=50K
[41, 60];Non-Government;141058;*;10;Spouse not present;Nontechnical;Not-in-family;White;Male;0;2339;50;North America;<=50K
[21, 40];Non-Government;77071;*;13;Spouse not present;Technical;Own-child;White;Female;0;2339;35;North America;<=50K
[41, 60];Government;171328;*;9;Spouse not present;Other;Other-relative;Black;Female;0;2339;40;North America;<=50K
[21, 40];Government;381789;*;10;Spouse not present;Nontechnical;Own-child;White;Male;0;2339;40;North America;<=50K
[41, 60];Non-Government;346635;*;14;Spouse not present;Nontechnical;Unmarried;White;Female;0;2339;60;North America;<=50K
[41, 60];Non-Government;162140;*;9;Spouse not present;Technical;Not-in-family;White;Male;0;2339;40;North America;<=50K
*;*;191765;*;9;*;*;Other-relative;*;*;0;2339;40;*;*
[21, 40];Non-Government;251905;*;15;Spouse not present;Technical;Not-in-family;White;Male;0;2339;40;North America;<=50K
[21, 40];Non-Government;33310;*;15;Spouse not present;Other;Not-in-family;White;Female;0;2339;35;North America;<=50K
[61, 80];Non-Government;228921;*;13;Spouse not present;Technical;Not-in-family;White;Male;0;2282;40;North America;>50K
[61, 80];Government;36364;*;9;Spouse present;Technical;Husband;White;Male;0;2267;40;North America;<=50K
[61, 80];Non-Government;124930;*;3;Spouse present;Technical;Husband;White;Male;0;2267;40;North America;<=50K
[41, 60];Government;176046;*;14;Spouse present;Technical;Wife;White;Female;0;2267;40;North America;<=50K
[41, 60];Government;370890;*;9;Spouse not present;Other;Not-in-family;White;Male;0;2258;40;North America;<=50K
[1, 20];Non-Government;157145;*;10;Spouse not present;Other;Own-child;White;Male;0;2258;10;North America;<=50K
[21, 40];Non-Government;288825;*;9;Spouse not present;Technical;Not-in-family;White;Male;0;2258;84;North America;<=50K
[21, 40];Non-Government;257295;*;10;Spouse not present;Nontechnical;Other-relative;Asian-Pac-Islander;Male;0;2258;40;Africa;<=50K
[21, 40];Non-Government;287983;*;13;Spouse not present;Technical;Not-in-family;Asian-Pac-Islander;Female;0;2258;48;Asia;<=50K
[21, 40];Non-Government;101978;*;10;Spouse not present;Technical;Not-in-family;White;Male;0;2258;55;North America;>50K
[41, 60];Government;192779;*;12;Spouse not present;Other;Unmarried;White;Male;0;2258;38;North America;>50K
[21, 40];Non-Government;135296;*;13;Spouse not present;Nontechnical;Not-in-family;White;Female;0;2258;45;North America;>50K
[41, 60];Government;199114;*;13;Spouse not present;Other;Not-in-family;White;Male;0;2258;40;North America;<=50K
[21, 40];Non-Government;156897;*;9;Spouse not present;Technical;Own-child;White;Male;0;2258;42;North America;>50K
[41, 60];Non-Government;138107;*;13;Spouse not present;Nontechnical;Not-in-family;White;Male;0;2258;40;North America;>50K
[21, 40];Non-Government;279833;*;13;Spouse not present;Nontechnical;Not-in-family;White;Male;0;2258;45;North America;>50K
[21, 40];Non-Government;208577;*;9;Spouse not present;Technical;Not-in-family;White;Male;0;2258;50;North America;<=50K
[21, 40];Non-Government;102942;*;13;Spouse not present;Technical;Own-child;White;Female;0;2258;40;North America;>50K
[21, 40];Non-Government;36385;*;14;Spouse not present;Technical;Not-in-family;White;Male;0;2258;50;North America;<=50K
[21, 40];Non-Government;176185;*;8;Spouse not present;Technical;Not-in-family;White;Male;0;2258;42;North America;<=50K
[21, 40];Government;162613;*;14;Spouse not present;Technical;Not-in-family;White;Female;0;2258;60;North America;<=50K
[41, 60];Non-Government;121362;*;10;Spouse not present;Other;Unmarried;White;Female;0;2258;38;North America;>50K
[21, 40];Non-Government;145933;*;9;Spouse not present;Nontechnical;Not-in-family;White;Male;0;2258;70;North America;<=50K
[41, 60];Government;29591;*;13;Spouse not present;Technical;Not-in-family;White;Male;0;2258;40;North America;>50K
[41, 60];Government;269417;*;16;Spouse not present;Nontechnical;Not-in-family;White;Female;0;2258;50;North America;>50K
[41, 60];Non-Government;178510;*;10;Spouse not present;Nontechnical;Not-in-family;White;Male;0;2258;60;North America;<=50K
[41, 60];Non-Government;41108;*;10;Spouse not present;Other;Not-in-family;White;Male;0;2258;62;North America;>50K
[41, 60];Non-Government;187901;*;9;Spouse not present;Other;Not-in-family;White;Male;0;2258;44;North America;>50K
[41, 60];Non-Government;175070;*;9;Spouse not present;Nontechnical;Not-in-family;White;Female;0;2258;40;North America;>50K
[21, 40];Non-Government;263561;*;13;Spouse present;Nontechnical;Husband;White;Male;0;2246;45;North America;>50K
[41, 60];Government;99131;*;9;Spouse present;Technical;Other-relative;White;Female;0;2246;40;North America;>50K
[61, 80];Non-Government;143833;*;10;Spouse present;Nontechnical;Husband;White;Male;0;2246;40;North America;>50K
[61, 80];Non-Government;124449;*;14;Spouse present;Nontechnical;Husband;White;Male;0;2246;8;North America;>50K
[61, 80];Non-Government;336007;*;13;Spouse present;Technical;Husband;White;Male;0;2246;40;North America;>50K
[61, 80];Non-Government;285408;*;15;Spouse present;Technical;Husband;White;Male;0;2246;28;North America;>50K
[21, 40];Non-Government;327825;*;9;Spouse not present;Technical;Unmarried;White;Female;0;2238;40;North America;<=50K
[21, 40];Non-Government;129460;*;6;Spouse not present;Other;Unmarried;White;Female;0;2238;35;North America;<=50K
[21, 40];Non-Government;258298;*;13;Spouse not present;Other;Own-child;White;Male;0;2231;40;North America;>50K
[41, 60];Government;102359;*;5;Spouse not present;Nontechnical;Unmarried;White;Male;0;2231;40;North America;>50K
[21, 40];Government;92431;*;10;Spouse not present;Other;Not-in-family;White;Male;0;2231;40;North America;>50K
*;*;51744;*;9;*;*;Not-in-family;*;*;0;2206;40;*;*
[61, 80];Non-Government;166149;*;9;Spouse not present;Other;Not-in-family;White;Female;0;2206;30;North America;<=50K
[61, 80];Non-Government;149811;*;9;Spouse not present;Other;Unmarried;White;Female;0;2206;59;North America;<=50K
[61, 80];Non-Government;118363;*;13;Spouse not present;Nontechnical;Not-in-family;White;Female;0;2206;5;North America;<=50K
[61, 80];Government;362165;*;13;Spouse not present;Technical;Not-in-family;Black;Female;0;2206;25;North America;<=50K
[21, 40];Non-Government;379066;*;10;Spouse not present;Other;Not-in-family;White;Male;0;2205;24;North America;<=50K
[41, 60];Non-Government;171424;*;10;Spouse not present;Technical;Not-in-family;White;Male;0;2205;35;North America;<=50K
[21, 40];Non-Government;108293;*;10;Spouse not present;Other;Own-child;White;Female;0;2205;40;North America;<=50K
[1, 20];Non-Government;107801;*;12;Spouse not present;Other;Own-child;White;Female;0;2205;18;North America;<=50K
[21, 40];Non-Government;126675;*;9;Spouse not present;Technical;Not-in-family;White;Male;0;2205;40;North America;<=50K
[21, 40];Non-Government;155603;*;10;Spouse not present;Other;Own-child;Black;Female;0;2205;40;North America;<=50K
[21, 40];Non-Government;27882;*;10;Spouse not present;Technical;Other-relative;White;Female;0;2205;40;Europe;<=50K
[41, 60];Non-Government;242564;*;4;Spouse not present;Nontechnical;Not-in-family;Black;Male;0;2205;40;North America;<=50K
*;*;23510;*;14;*;*;Unmarried;*;*;0;2201;60;*;*
[61, 80];Non-Government;181232;*;7;Spouse present;Technical;Husband;White;Male;0;2179;40;North America;<=50K
[21, 40];Non-Government;166481;*;4;Spouse present;Nontechnical;Husband;Other;Male;0;2179;40;North America;<=50K
*;*;139916;*;11;*;*;Husband;*;*;0;2179;84;*;*
[41, 60];Non-Government;144594;*;4;Spouse present;Technical;Husband;White;Male;0;2179;40;North America;<=50K
[41, 60];Non-Government;266707;*;2;Spouse present;Other;Husband;White;Male;0;2179;18;North America;<=50K
[41, 60];Government;303176;*;10;Spouse present;Nontechnical;Husband;White;Male;0;2179;40;North America;<=50K
[21, 40];Non-Government;56460;*;9;Spouse present;Other;Wife;White;Female;0;2179;12;North America;<=50K
[41, 60];Non-Government;167523;*;9;Spouse present;Other;Husband;White;Male;0;2179;45;North America;<=50K
[21, 40];Non-Government;119004;*;9;Spouse present;Other;Wife;White;Female;0;2179;40;North America;<=50K
[41, 60];Non-Government;175925;*;6;Spouse present;Nontechnical;Husband;White;Male;0;2179;52;North America;<=50K
[21, 40];Non-Government;212847;*;10;Spouse present;Technical;Husband;White;Male;0;2179;40;North America;<=50K
[41, 60];Non-Government;191175;*;3;Spouse present;Nontechnical;Husband;White;Male;0;2179;50;North America;<=50K
[41, 60];Non-Government;170214;*;9;Spouse present;Nontechnical;Husband;White;Male;0;2179;40;North America;<=50K
[21, 40];Non-Government;180714;*;10;Spouse present;Other;Husband;Black;Male;0;2179;40;North America;<=50K
[61, 80];Non-Government;111483;*;10;Spouse present;Nontechnical;Husband;White;Male;0;2174;10;North America;>50K
[61, 80];Non-Government;282642;*;9;Spouse present;Nontechnical;Husband;White;Male;0;2174;40;North America;>50K
[61, 80];Non-Government;309955;*;15;Spouse present;Technical;Husband;White;Male;0;2174;50;North America;>50K
[61, 80];Government;215908;*;9;Spouse present;Other;Husband;White;Male;0;2174;40;North America;>50K
*;*;23494;*;10;*;*;Husband;*;*;0;2174;40;*;*
[61, 80];Non-Government;147551;*;10;Spouse present;Technical;Husband;White;Male;0;2174;50;North America;>50K
[61, 80];Non-Government;116903;*;11;Spouse present;Technical;Husband;White;Male;0;2149;40;North America;<=50K
[61, 80];Non-Government;119129;*;9;Spouse present;Nontechnical;Husband;White;Male;0;2149;20;North America;<=50K
[1, 20];Non-Government;342384;*;7;Spouse present;Technical;Own-child;White;Male;0;2129;55;North America;<=50K
[21, 40];Non-Government;68899;*;9;Spouse present;Technical;Husband;White;Male;0;2129;40;North America;<=50K
*;*;207107;*;12;*;*;Unmarried;*;*;0;2080;40;*;*
*;*;149044;*;14;*;*;Husband;*;*;0;2057;60;*;*
[21, 40];Non-Government;148524;*;9;Spouse present;Other;Husband;White;Male;0;2057;40;North America;<=50K
[41, 60];Non-Government;268639;*;10;Spouse present;Technical;Wife;White;Female;0;2057;60;North America;<=50K
[21, 40];Non-Government;272019;*;7;Spouse present;Technical;Husband;White;Male;0;2057;40;North America;<=50K
[21, 40];Non-Government;239753;*;9;Spouse present;Other;Wife;White;Female;0;2057;20;North America;<=50K
[21, 40];Non-Government;199864;*;10;Spouse present;Other;Wife;White;Female;0;2057;40;North America;<=50K
[41, 60];Non-Government;125831;*;9;Spouse present;Technical;Husband;White;Male;0;2051;60;North America;<=50K
[21, 40];Non-Government;67728;*;10;Spouse present;Technical;Husband;White;Male;0;2051;45;North America;<=50K
[21, 40];Non-Government;115717;*;10;Spouse present;Other;Husband;White;Male;0;2051;40;North America;<=50K
[41, 60];Non-Government;172281;*;9;Spouse present;Other;Husband;White;Male;0;2051;50;North America;<=50K
[41, 60];Government;305053;*;9;Spouse present;Technical;Husband;White;Male;0;2051;40;North America;<=50K
[41, 60];Non-Government;105010;*;9;Spouse present;Other;Husband;White;Male;0;2051;20;North America;<=50K
[21, 40];Non-Government;291052;*;10;Spouse present;Other;Husband;White;Male;0;2051;40;North America;<=50K
[21, 40];Government;248919;*;9;Spouse present;Other;Husband;White;Male;0;2051;40;North America;<=50K
[21, 40];Non-Government;84119;*;10;Spouse present;Technical;Husband;White;Male;0;2051;40;North America;<=50K
[21, 40];Government;105540;*;13;Spouse present;Technical;Husband;White;Male;0;2051;40;North America;<=50K
[21, 40];Non-Government;161765;*;10;Spouse present;Nontechnical;Husband;White;Male;0;2051;57;North America;<=50K
[41, 60];Non-Government;195635;*;9;Spouse present;Technical;Husband;White;Male;0;2051;38;North America;<=50K
[41, 60];Non-Government;816750;*;9;Spouse present;Technical;Husband;White;Male;0;2051;40;North America;<=50K
[21, 40];Non-Government;160192;*;9;Spouse present;Technical;Husband;White;Male;0;2051;44;North America;<=50K
[21, 40];Non-Government;136081;*;9;Spouse present;Technical;Husband;White;Male;0;2051;40;North America;<=50K
[21, 40];Non-Government;244473;*;11;Spouse present;Technical;Husband;White;Male;0;2051;40;North America;<=50K
[41, 60];Non-Government;187033;*;9;Spouse present;Technical;Husband;White;Male;0;2051;40;North America;<=50K
[21, 40];Non-Government;265807;*;9;Spouse present;Other;Husband;White;Male;0;2051;55;North America;<=50K
[21, 40];Non-Government;154410;*;9;Spouse present;Technical;Husband;White;Male;0;2051;40;Europe;<=50K
[21, 40];Non-Government;314007;*;6;Spouse present;Technical;Husband;White;Male;0;2051;40;North America;<=50K
[61, 80];Non-Government;179743;*;9;Spouse present;Technical;Husband;White;Male;0;2051;20;North America;<=50K
[41, 60];Non-Government;117037;*;7;Spouse present;Other;Husband;White;Male;0;2042;40;North America;<=50K
[21, 40];Non-Government;40135;*;10;Spouse present;Nontechnical;Husband;White;Male;0;2042;40;North America;<=50K
[41, 60];Non-Government;315423;*;10;Spouse present;Nontechnical;Husband;White;Male;0;2042;50;North America;<=50K
[21, 40];Non-Government;35429;*;9;Spouse present;Nontechnical;Husband;White;Male;0;2042;40;North America;<=50K
[41, 60];Non-Government;120837;*;9;Spouse present;Technical;Husband;White;Male;0;2042;48;North America;<=50K
[21, 40];Non-Government;90614;*;12;Spouse present;Technical;Husband;White;Male;0;2042;10;North America;<=50K
[21, 40];Non-Government;202878;*;4;Spouse present;Other;Husband;White;Male;0;2042;40;North America;<=50K
[21, 40];Non-Government;260954;*;7;Spouse present;Technical;Husband;White;Male;0;2042;30;North America;<=50K
[41, 60];Non-Government;127084;*;9;Spouse present;Other;Husband;White;Male;0;2042;34;North America;<=50K
[41, 60];Government;107231;*;9;Spouse present;Technical;Husband;White;Male;0;2002;40;North America;<=50K
[41, 60];Government;135102;*;9;Spouse present;Other;Husband;White;Male;0;2002;45;North America;<=50K
[41, 60];Non-Government;201822;*;4;Spouse present;Nontechnical;Husband;White;Male;0;2002;40;North America;<=50K
